Chromosome Position.bp. Rate.cM.Mb. Map.cM.
chr4 77881707 0.059478 91.631124
chr4 77882153 0.057477 91.631151
chr4 77882431 0.054609 91.631167
chr4 77882460 0.051636 91.631168
chr4 77882961 0.047827 91.631194
chr4 77883498 0.045697 91.63122
chr4 77883668 0.043475 91.631228
chr4 77886046 0.043065 91.631331
chr4 77886096 0.042844 91.631333
chr4 77888065 0.042269 91.631417
chr4 77888567 0.041996 91.631439
chr4 77889925 0.041857 91.631496
chr4 77889994 0.041733 91.631499
chr4 77890793 0.041468 91.631532
chr4 77891169 0.041247 91.631547
chr4 77892262 0.041054 91.631593
chr4 77894220 0.041054 91.631673
chr4 77894399 0.041054 91.63168
chr4 77897945 0.041054 91.631826
